Faza,Tydzień,Sekcja,Zadanie (Opis),Co odbiera Klient (opis nietechniczny),Koszt (PLN)
,4,Frontend Mobilna,"Zakodowanie widoku listy dokumentów w aplikacji mobilnej, umożliwiającego ich podgląd i akceptację/odrzucenie.",Wystawca po zalogowaniu w aplikacji mobilnej widzi listę dokumentów i może zarządzać ich statusami.,"2 917,00 zł"
Materiały Marketingowe,5,Backend/API,"Stworzenie logiki do zarządzania biblioteką materiałów marketingowych oraz mechanizmu, przez który wystawca może poprosić o nowy materiał.","Administrator może wgrywać materiały marketingowe (np. logotypy, banery) i je kategoryzować. System jest gotowy na przyjmowanie zgłoszeń od wystawców.","11 667,00 zł"
,5,Frontend WWW,Zakodowanie interfejsu dla wystawcy do przeglądania i pobierania materiałów oraz formularza do zgłaszania zapotrzebowania na nowe.,"Wystawca na stronie WWW widzi bibliotekę materiałów (np. galerię grafik), może je pobrać i wysłać prośbę o stworzenie nowego.","2 917,00 zł"
,5,Frontend Mobilna,"Zakodowanie widoku biblioteki materiałów w aplikacji mobilnej, z możliwością ich przeglądania i pobierania.",Wystawca w aplikacji mobilnej może przeglądać i pobierać na telefon dostępne materiały marketingowe.,"2 917,00 zł"
Komunikacja,6,Backend/API,Stworzenie mechanizmu do wysyłania komunikatów (newsów) do wystawców (do wszystkich lub wybranych grup) oraz powiadomień PUSH na telefony.,"Administrator może z panelu wysłać wiadomość, która pojawi się w aplikacji wystawców, oraz wysłać powiadomienie ""push"" na ich telefony.","11 667,00 zł"
,6,Frontend WWW,Zakodowanie widoku listy komunikatów dla wystawcy oraz interfejsu dla administratora do tworzenia i wysyłania tych komunikatów.,http://WWW,"2 917,00 zł"
,6,Frontend Mobilna,Zakodowanie widoku listy komunikatów w aplikacji mobilnej oraz obsługa przychodzących powiadomień PUSH.,"Wystawca widzi sekcję ""Aktualności"" w aplikacji mobilnej i otrzymuje powiadomienia na ekranie telefonu.","2 917,00 zł"
Generator Zaproszeń,7,Backend/API,"Stworzenie logiki generatora zaproszeń: przydzielanie pul, wgrywanie listy gości, wysyłka zaproszeń, śledzenie statusów.","Gotowy, działający po stronie serwera moduł generatora zaproszeń. Można przydzielać pule zaproszeń i śledzić ich wykorzystanie.","11 667,00 zł"
,7,Frontend WWW,"Zakodowanie pełnego interfejsu dla wystawcy do obsługi generatora: wgrywanie listy gości, wysyłka, podgląd statusów, raporty.","Wystawca na stronie WWW może w pełni korzystać z generatora zaproszeń: dodać swoich gości, wysłać zaproszenia i sprawdzić, kto potwierdził przybycie.","2 917,00 zł"
,7,Frontend Mobilna,Zakodowanie interfejsu generatora zaproszeń w aplikacji mobilnej.,Wystawca może zarządzać zaproszeniami dla swoich gości również z poziomu aplikacji mobilnej.,"2 917,00 zł"
Finalizacja i Wdrożenie,8,Backend/API,"Stworzenie mechanizmów eksportu danych dla admina (np. do Excela). Testy, optymalizacja szybkości działania, dokumentacja techniczna.","Aplikacja jest finalnie przetestowana, zoptymalizowana i gotowa do publicznego uruchomienia. Administrator otrzymuje funkcję pobierania zbiorczych raportów.","11 664,00 zł"
,8,Frontend WWW,"Zakodowanie w panelu admina sekcji ""Baza Danych"" z przyciskami do eksportu. Finalne testy i poprawki wizualne.","Administrator w panelu widzi nową sekcję ""Baza Danych"", gdzie może jednym kliknięciem pobrać np. listę wszystkich wystawców.","2 915,00 zł"
,8,Frontend Mobilna,"Finalne testy całej aplikacji mobilnej, ostatnie poprawki i przygotowanie do publikacji w sklepach App Store i Google Play.","Aplikacja mobilna jest w pełni przetestowana, działa płynnie i jest gotowa do udostępnienia użytkownikom w sklepach z aplikacjami.","2 915,00 zł"
